Player,Nationality,Teams Played For
R.P. Singh,IND,RCB
RP Singh,IND,KTK
Raghav Goyal,IND,MI
Rahil Shaikh,IND,MI
Rahmanullah Gurbaz,AFG,GT
Rahul Buddhi,IND,MI
Rahul Chahar,IND,"MI, PBKS, RPSG, SRH"
Rahul Dravid,IND,RCB
Rahul Dravid †,IND,RR
Rahul Sharma,IND,"DC, DQ, PWI"
Rahul Shukla,IND,"DC, MI, RR"
Rahul Tewatia,IND,"DC, GT, RR"
Rahul Tripathi,IND,"KKR, RPSG, RR, SRH"
Raiphi Gomez,IND,PWI
Raj Angad Bawa,IND,MI
Raj Bawa,IND,PBKS
Rajagopal Sathish,IND,"KKR, MI"
Rajan Kumar,IND,RCB
Rajat Bhatia,IND,"DC, KKR, RPSG, RR"
Rajat Patidar,IND,RCB
Rajesh Bishnoi,IND,RCB
Rajesh Pawar,IND,MI
Rajoo Bhatkal,IND,RCB
Rajvardhan Hangargekar,IND,"CSK, LSG"
Ramandeep Singh,IND,"KKR, MI"
Ramesh Powar,IND,KTK
Rashid Khan,AFG,"GT, SRH"
Rasikh Salam,IND,"DC, KKR, MI"
Rasikh Salam Dar,IND,RCB
Rassie van der Dussen,SA,RR
Ravi Bishnoi,IND,LSG
Ravi Bopara,ENG,"PBKS, SRH"
Ravi Rampaul,WI,RCB
Ravi Teja Dwaraka,IND,DQ
Ravichandran Ashwin,IND,"CSK, DC, PBKS, RPSG, RR"
Ravindra Jadeja,IND,"CSK, GL, KTK"
Ravindra Jadeja §,IND,RR
Reece Topley,ENG,RCB
Richard Levi,SA,MI
Ricky Bhui,IND,"DC, SRH"
Ricky Ponting,AUS,"KKR, MI"
Rilee Rossouw,SA,"DC, RCB"
Riley Meredith,AUS,MI
Rinku Singh,IND,KKR
Ripal Patel,IND,DC
Rishabh Pant,IND,"DC, LSG"
Rishi Dhawan,IND,"MI, PBKS"
Riyan Parag § †,IND,RR
Rob Quiney,AUS,RR
Robin Minz,IND,MI
Robin Peterson,SA,MI
Robin Uthappa,IND,"CSK, KKR, MI, PWI, RCB, RR"
Roelof van der Merwe,NED,"DC, RCB"
Rohan Gavaskar,IND,KKR
Rohan Raje,IND,MI
Rohit Sharma,IND,"DQ, MI"
Romario Shepherd,WI,"LSG, MI, RCB, SRH"
Roosh Kalaria,IND,MI
Ross Taylor,NZ,"DC, RCB, RR"
Rovman Powell,WI,"DC, RR"
Rusty Theron,USA,RR
Ruturaj Gaikwad,IND,CSK
Ryan Harris,AUS,"DQ, PBKS"
Ryan McLaren,SA,"CSK, KKR, MI"
Ryan Ninan,IND,RCB
Ryan Rickelton,SA,MI
Ryan ten Doeschate,NED,KKR
S Sreesanth,IND,KTK
S. Sreesanth,IND,RR
S. Thiyagarajan,IND,RCB
Sachin Baby,IND,"RCB, RR, SRH"
Sachin Rana,IND,RCB
Sachin Tendulkar,IND,MI
Sachithra Senanayake,SL,KKR
Sai Kishore,IND,CSK
Sai Sudharsan,IND,GT
Salman Butt,PAK,KKR
Sam Billings,ENG,DC
Sam Curran,ENG,"CSK, PBKS"
Sameer Rizvi,IND,DC
Samuel Badree,WI,"CSK, RCB, RR"
Sanath Jayasuriya,SL,MI
Sandeep Lamichhane,Nepal,DC
Sandeep Sharma,IND,SRH
Sandeep Sharma §,IND,RR
Sandeep Warrier,IND,"KKR, MI, RCB"
Sanjay Bangar,IND,"DQ, KKR"
Sanjay Yadav,IND,MI
Sanju Samson,IND,DC
Sanju Samson ‡ †,IND,RR
Santosh Yadav,IND,MI
Sanvir Singh,IND,SRH
Sarabjit Ladda,IND,"DC, GL, KKR"
Sarfaraz Khan,IND,"DC, RCB"
Sarul Kanwar,IND,MI
Satyanarayana Raju,IND,MI
Saurabh Kumar,IND,RPSG
Saurabh Tiwary,IND,"DC, MI, RCB"
Saurav Chauhan,IND,RCB
Scott Boland,AUS,RPSG
Scott Styris,NZ,"CSK, DQ"
Sean Abbott,AUS,"RCB, SRH"
Shadab Jakati,IND,"GL, RCB"
Shahbaz Ahmed,IND,"LSG, RCB, SRH"
Shahbaz Nadeem,IND,"DC, LSG, SRH"
Shahid Afridi,PAK,DQ
Shahrukh Khan,IND,GT
Shai Hope,WI,DC
Shakib Al Hasan,BAN,"KKR, SRH"
Shamar Joseph,WI,LSG
Shams Mulani,IND,MI
Shane Bond,NZ,KKR
Shane Harwood,AUS,RR
Shane Warne †,AUS,RR
Shane Watson,AUS,"CSK, RCB"
Shane Watson †,AUS,RR
Sharad Lumba,IND,MI
Shardul Thakur,IND,"CSK, DC, KKR"
Shashank Singh,IND,"PBKS, SRH"
Shaun Pollock,SA,MI
Shaun Tait,AUS,RR
Sheldon Cottrell,WI,PBKS
Sheldon Jackson,IND,RCB
Sherfane Rutherford,WI,"DC, MI, RCB"
Shikhar Dhawan,IND,"DC, DQ, MI, PBKS, SRH"
Shimron Hetmyer,WI,"DC, RCB"
Shimron Hetmyer §,WI,RR
Shishir Bhavane,IND,RCB
Shivalik Sharma,IND,MI
Shivam Dube,IND,"CSK, RCB, RR"
Shivam Mavi,IND,"GT, KKR, LSG"
Shivil Kaushik,IND,GL
Shivnarine Chanderpaul,WI,RCB
Shoaib Ahmed,IND,DQ
Shoaib Akhtar,PAK,KKR
Shoaib Malik,PAK,DC
Shoaib Shaikh,IND,KKR
Shreevats Goswami,IND,"RCB, SRH"
Shreevats Goswami ‡,IND,RR
Shreyas Gopal,IND,"MI, RR, SRH"
Shreyas Iyer,IND,"DC, KKR, PBKS"
Shrikant Wagh,IND,RR
Shubham Dubey §,IND,RR
Shubman Gill,IND,"GT, KKR"
Siddarth Kaul,IND,"DC, SRH"
Siddharth Chitnis,IND,"MI, RR"
Siddharth Kaul,IND,RCB
Siddharth Trivedi,IND,RR
Siddhesh Lad,IND,MI
Simarjeet Singh,IND,"CSK, MI, SRH"
Sisanda Magala,SA,CSK
Sohail Tanvir,PAK,RR
Sonu Yadav,IND,RCB
Sourav Ganguly,IND,"KKR, PWI"
Sourav Sarkar,IND,KKR
Sreenath Aravind,IND,RCB
Sridharan Sriram,IND,"DC, RCB"
Stephen Fleming,NZ,CSK
Steve Smith,AUS,"DC, RCB"
Steve Smith †,AUS,RR
Steven Smith,AUS,"KTK, PWI, RPSG"
Stuart Binny,IND,"RCB, RR"
Subramaniam Badrinath,IND,"CSK, RCB"
Sudhesan Midhun,IND,RR
Sujit Nayak,IND,MI
